name,date,time,cpu-percent,ram-resident-set-size-bytes,ram-virtual-memory-size-bytes,ram-shared-memory-bytes,ram-code-segment-size-bytes,ram-data-segment-size-bytes,ram-library-size-bytes,ram-dirty-pages-bytes,ram-unique-set-size-bytes,disk-read-bytes,disk-write-bytes,disk-read-characters-bytes,disk-write-characters-bytes,cycle
server,2024-04-15-16:35:12.714556,1713198912.7146273,19.9,793042944,3147771904,141950976,4096,1741709312,0,0,779239424,112357376,11145216,110782107,10742434,3
server,2024-04-15-16:35:17.725147,1713198917.725198,58.2,793042944,3147771904,141950976,4096,1741709312,0,0,779243520,112357376,11149312,110800232,10742943,3
server,2024-04-15-16:35:22.711548,1713198922.71161,39.7,793042944,3147771904,141950976,4096,1741709312,0,0,779243520,112357376,11149312,110802022,10742943,3
server,2024-04-15-16:35:27.726736,1713198927.726818,67.5,793042944,3147771904,141950976,4096,1741709312,0,0,779243520,112357376,11149312,110819973,10743462,3
server,2024-04-15-16:35:32.717692,1713198932.7178195,49.9,793042944,3147771904,141950976,4096,1741709312,0,0,779243520,112357376,11149312,110844169,10743610,3
server,2024-04-15-16:35:37.735656,1713198937.735733,57.9,793042944,3147771904,141950976,4096,1741717504,0,0,779251712,112357376,11149312,110862121,10743815,3
server,2024-04-15-16:35:42.719250,1713198942.7193372,59.2,793042944,3147771904,141950976,4096,1741717504,0,0,779251712,112357376,11149312,110863911,10743815,3
server,2024-04-15-16:35:47.731421,1713198947.7315147,68.7,793042944,3147771904,141950976,4096,1741717504,0,0,779255808,112357376,11149312,110881862,10744020,3
server,2024-04-15-16:35:52.721149,1713198952.7212262,69.7,793042944,3147771904,141950976,4096,1741717504,0,0,779255808,112357376,11149312,110883652,10744020,3
server,2024-04-15-16:35:57.766219,1713198957.7663126,26.1,793042944,3147788288,141950976,4096,1741733888,0,0,779264000,112357376,11153408,110901605,10744238,3
server,2024-04-15-16:36:02.724565,1713198962.7246609,39.8,793042944,3147771904,141950976,4096,1741717504,0,0,779255808,112357376,11153408,110903395,10744390,3
server,2024-04-15-16:36:07.730309,1713198967.7303987,69.1,793042944,3147771904,141950976,4096,1741721600,0,0,779264000,112357376,11153408,110921520,10744972,3
server,2024-04-15-16:36:12.710189,1713198972.7102604,59.8,793042944,3147771904,141950976,4096,1741721600,0,0,779264000,112357376,11153408,110923310,10745052,3
server,2024-04-15-16:36:17.725932,1713198977.7259855,29.8,793042944,3147771904,141950976,4096,1741721600,0,0,779264000,112357376,11153408,110941261,10745257,3
server,2024-04-15-16:36:22.714121,1713198982.7142136,69.7,793042944,3147771904,141950976,4096,1741721600,0,0,779264000,112357376,11153408,110943051,10745257,3
server,2024-04-15-16:36:27.717797,1713198987.7179015,39.9,793042944,3147788288,141950976,4096,1741737984,0,0,779272192,112357376,11157504,110961002,10745554,3
