name,action-time-start,action-time-end,action-total-seconds,cycle
server-monitoring,1713194351.3535893,1713194351.660913,0.30732,1
aggregation-pipeline,1713194356.3589952,1713194356.6262183,0.26722,1
check-workers,1713194356.3519366,1713194356.5885904,0.23665,1
server-monitoring,1713194356.3559291,1713194356.9719121,0.61598,1
check-workers,1713194361.350285,1713194361.474675,0.12439,1
server-monitoring,1713194361.3534813,1713194361.649203,0.29572,1
check-workers,1713194366.3504565,1713194366.4087088,0.05825,1
update-pipeline,1713194366.3551848,1713194366.4257965,0.07061,1
system-monitoring,1713194366.3541873,1713194366.6785507,0.32436,1
server-monitoring,1713194366.353656,1713194366.8569925,0.50334,1
check-workers,1713194371.3503532,1713194371.4816706,0.13132,1
server-monitoring,1713194371.353504,1713194371.630465,0.27696,1
data-pipeline,1713194376.3543584,1713194376.5056436,0.15129,1
check-workers,1713194376.3503203,1713194376.4837985,0.13348,1
server-monitoring,1713194376.3537502,1713194376.854265,0.50051,1
check-workers,1713194381.3504367,1713194381.4742277,0.12379,1
server-monitoring,1713194381.3537574,1713194381.614564,0.26081,1
check-workers,1713194386.3504436,1713194386.4714727,0.12103,1
system-monitoring,1713194386.354422,1713194386.5561256,0.2017,1
server-monitoring,1713194386.354128,1713194386.7646022,0.41047,1
check-workers,1713194391.3502471,1713194391.467529,0.11728,1
server-monitoring,1713194391.3530486,1713194391.6152685,0.26222,1
check-workers,1713194396.3504248,1713194396.470251,0.11983,1
system-monitoring,1713194396.3543391,1713194396.552527,0.19819,1
server-monitoring,1713194396.3540206,1713194396.7683504,0.41433,1
check-workers,1713194401.3504992,1713194401.4183054,0.06781,1
server-monitoring,1713194401.3558893,1713194401.5763135,0.22042,1
model-pipeline,1713194406.3563588,1713194406.4126496,0.05629,1
data-pipeline,1713194406.3555267,1713194406.4902995,0.13477,1
check-workers,1713194406.350285,1713194406.619794,0.26951,1
aggregation-pipeline,1713194406.3568935,1713194406.6620538,0.30516,1
system-monitoring,1713194406.35535,1713194406.88808,0.53273,1
server-monitoring,1713194406.354604,1713194407.126273,0.77167,1
update-pipeline,1713194406.3565013,1713194406.5243347,0.16783,1
check-workers,1713194411.350455,1713194411.4781234,0.12767,1
server-monitoring,1713194411.35712,1713194411.6302028,0.27308,1
check-workers,1713194416.3505247,1713194416.4833906,0.13287,1
server-monitoring,1713194416.3542287,1713194416.7562854,0.40206,1
system-monitoring,1713194416.354527,1713194416.7954118,0.44088,1
check-workers,1713194421.350191,1713194421.4664807,0.11629,1
server-monitoring,1713194421.3541975,1713194421.5862858,0.23209,1
check-workers,1713194426.3505445,1713194426.4702325,0.11969,1
system-monitoring,1713194426.3545794,1713194426.5639791,0.2094,1
server-monitoring,1713194426.354296,1713194426.7766418,0.42235,1
check-workers,1713194431.3505328,1713194431.4740233,0.12349,1
server-monitoring,1713194431.3540206,1713194431.6156158,0.2616,1
check-workers,1713194436.3505485,1713194436.4384747,0.08793,1
data-pipeline,1713194436.3552437,1713194436.4599855,0.10474,1
system-monitoring,1713194436.3546617,1713194436.7188962,0.36423,1
check-workers,1713194441.350576,1713194441.4930363,0.14246,1
server-monitoring,1713194441.3545043,1713194441.6680229,0.31352,1
check-workers,1713194446.3506212,1713194446.4974484,0.14683,1
update-pipeline,1713194446.3547084,1713194446.5216131,0.1669,1
server-monitoring,1713194446.3540816,1713194446.8670292,0.51295,1
system-monitoring,1713194446.354428,1713194446.7458646,0.39144,1
check-workers,1713194451.350403,1713194451.4772925,0.12689,1
server-monitoring,1713194451.3534763,1713194451.61556,0.26208,1
aggregation-pipeline,1713194456.367837,1713194456.7330027,0.36517,1
system-monitoring,1713194456.3598828,1713194457.168428,0.80855,1
server-monitoring,1713194456.3556664,1713194457.2229726,0.86731,1
check-workers,1713194461.3503482,1713194461.4156294,0.06528,1
server-monitoring,1713194461.3534021,1713194461.7511678,0.39777,1
model-pipeline,1713194466.3575623,1713194466.4206228,0.06306,1
data-pipeline,1713194466.3574162,1713194466.4884312,0.13102,1
system-monitoring,1713194466.3560324,1713194466.8917613,0.53573,1
server-monitoring,1713194466.3549147,1713194467.2435815,0.88867,1
check-workers,1713194471.353823,1713194471.5090547,0.15523,1
server-monitoring,1713194471.356839,1713194471.6950228,0.33818,1
check-workers,1713194476.3506541,1713194476.5040169,0.15336,1
system-monitoring,1713194476.3556964,1713194476.713185,0.35749,1
server-monitoring,1713194476.3551981,1713194476.7739441,0.41875,1
check-workers,1713194481.3503034,1713194481.4709444,0.12064,1
server-monitoring,1713194481.3531349,1713194481.6121511,0.25902,1
check-workers,1713194486.3504727,1713194486.5054355,0.15496,1
update-pipeline,1713194486.3575463,1713194486.6202781,0.26273,1
server-monitoring,1713194486.3551726,1713194486.961661,0.60649,1
system-monitoring,1713194486.356186,1713194486.7794304,0.42324,1
